id,subject,hours,planId,type,parentId,stringNumber,blockId,departmentId,code,hoursSelfWork
2085343,Основы проектирования электротехнических систем,180,6612,subject,,4,78542,29,Б1.В.04,160
2085344,Индустриальные помехи и электромагнитная совместимость в электроэнергетике,108,6612,subject,,5,78542,29,Б1.В.05,90
2085345,История науки и техники в области технических наук,72,6612,subject,,6,78542,23,Б1.В.06,56
2085346,Современная элементная база технических средств систем управления,108,6612,subject,,7,78542,29,Б1.В.07,81
2085347,Системы обеспечения безопасности технических средств управления,72,6612,subject,,8,78542,39,Б1.В.08,46
2085348,Моделирование изначально сложных систем,72,6612,subject,,9,78542,23,Б1.В.09,48
2085349,Организация баз данных в производственных системах,72,6612,subject,,10,78542,23,Б1.В.10,43
2085350,Электрические сети,144,6612,subject,,11,78542,29,Б1.В.11,124
2085351,Электромагнитные процессы в трехфазных системах,72,6612,subject,,12,78542,29,Б1.В.12,46
2085352,Основы теории надежности электроэнергетических систем,72,6612,subject,,13,78542,29,Б1.В.13,54
2085353,Релейное управление для защиты электротехнических систем,108,6612,subject,,14,78542,29,Б1.В.14,86
2085354,Физико-технические основы современной энергетики,108,6612,subject,,15,78542,29,Б1.В.15,79
2085356,Энергосбережение в электротехнических комплексах и системах,72,6612,subject,,16,78542,23,Б1.В.16,54
2085341,Теория принятия решений,108,6612,subject,,17,78541,23,Б1.О.01,90
2085361,Основы конструирования электротехнических устройств,72,6612,subject,,18,78541,37,Б1.О.02,34
2085329,Модуль 1,72,6612,choice,,19,78541,,Б1.О.ДВ.01,54
2085330,Энергоменеджмент,72,6612,subject,"2,085,329",20,78541,19,Б1.О.ДВ.01.01,54
2085360,Управление инженерными проектами,72,6612,subject,"2,085,329",21,78541,8,Б1.О.ДВ.01.02,54
2085328,Дисциплины по выбору Б1.В.ДВ.1,72,6612,choice,,22,78541,,Б1.О.ДВ.02,54
2085355,Организационное поведение,72,6612,subject,"2,085,328",23,78541,42,Б1.О.ДВ.02.01,54
2085339,Социальные коммуникации в профессиональной среде,72,6612,subject,"2,085,328",24,78541,42,Б1.О.ДВ.02.02,54
2085357,Дисциплины по выбору студента 1,216,6612,choice,,25,78541,,Б1.О.ДВ.03,54
2085358,Иностранный язык,216,6612,subject,"2,085,357",26,78541,9,Б1.О.ДВ.03.01,54
2085359,Русский язык как иностранный,216,6612,subject,"2,085,357",27,78541,41,Б1.О.ДВ.03.02,54
2085333,Производственная практика (организационно-управленческая практика),216,6612,practice,,28,78545,29,Б2.В.01(П),210
2085362,Производственная практика (проектная практика),216,6612,practice,,29,78545,29,Б2.В.02(П),210
2085334,Производственная практика (преддипломная практика),540,6612,practice,,30,78545,29,Б2.В.03(Пд),534
2085335,Учебная практика (ознакомительная практика),324,6612,practice,,31,78544,29,Б2.О.01(У),319
2085332,Производственная практика (научно-исследовательская работа),432,6612,practice,,32,78544,29,Б2.О.02(П),426
2085336,Подготовка к процедуре защиты и защита выпускной квалификационной работы,324,6612,stateExam,,33,78546,29,Б3.01,322
2085331,"Компьютерные, сетевые и информационные технологии",108,6612,subject,,34,78547,23,ФТД.01,95
2085337,Методы и средства математической оптимизации в области технических систем,108,6612,subject,,35,78547,29,ФТД.02,95
2085364,Моделирование устройств в процессах разработки,180,6613,subject,,1,65696,23,Б1.В.01,143
